"id","cen","strain.id","sex","geno","zyg","litter","IMPC_HEM_001_001","IMPC_HEM_002_001","IMPC_HEM_003_001","IMPC_HEM_004_001","IMPC_HEM_005_001","IMPC_HEM_006_001","IMPC_HEM_007_001","IMPC_HEM_008_001","IMPC_HEM_019_001","IMPC_HEM_027_001","IMPC_HEM_029_001","IMPC_HEM_030_001","IMPC_HEM_031_001","IMPC_HEM_032_001","IMPC_HEM_033_001","IMPC_HEM_034_001","IMPC_HEM_035_001","IMPC_HEM_036_001","IMPC_HEM_037_001","IMPC_HEM_038_001","IMPC_HEM_039_001","IMPC_HEM_040_001"
"28702453","10","35","0","0","1","80928",4.92,10.25,17.34,48.7,47.5,16.093,35.54,1195,7.3,13.4,9.4,0.5707,85.3,4.2,1.2,0.06,2.857,0.13,0.0496,0.8487,0.0328,0.732
"28702463","10","35","1","0","1","80928",6.52,11.42,18.44,57.4,50.3,15.493,32.64,1412,7.4,12.9,10,0.7607,83,5.41,1.2,0.08,4.557,0.28,0.0696,0.8487,0.0528,0.732
"28702455","10","35","0","0","1","80928",5.33,10.83,18.14,52.7,48.7,15.993,34.54,1130,7.3,12.8,11.6,0.7307,78.3,4.17,1,0.05,7.957,0.41,0.0496,0.8487,0.0428,0.732
"28702465","10","35","1","0","1","80928",7.17,10.89,18.14,52.7,48.4,15.893,34.64,1563,7.3,13,13.2,1.0607,81.4,5.84,1.1,0.08,2.957,0.2,0.0396,0.4487,0.0828,1.132
"28702484","10","35","0","0","1","81342",5.72,10.98,18.74,54,49.2,16.293,34.94,1076,7.4,13,9.7,0.6607,81.4,4.65,1.4,0.08,5.957,0.32,0.0496,0.8487,0.0628,1.132
"28702490","10","35","1","0","1","81342",8.67,12.21,19.54,61.4,50.3,15.393,32.44,1365,7.3,12.9,10.6,1.0307,80.9,7.02,0.8,0.07,6.757,0.56,0.0496,0.4487,0.0728,0.832
"28702486","10","35","0","0","1","81342",5.89,10.57,17.74,51.2,48.4,15.993,34.74,1305,7.2,12.8,11.6,0.7907,82,4.83,1,0.06,4.257,0.23,0.0396,0.4487,0.0628,1.032
"28702492","10","35","1","0","1","81342",9.68,11.43,18.54,54.8,47.9,15.593,34.14,1197,7.2,12.7,10,1.0807,82.3,7.96,0.9,0.09,5.957,0.55,0.0596,0.5487,0.0628,0.732
"28702515","10","35","0","0","1","82020",9.21,10.07,17.34,51.4,51.1,16.393,33.84,845,7.3,14.1,13.7,1.3707,79.9,7.36,1.1,0.1,3.357,0.28,0.0596,0.6487,0.1528,1.632
"28702517","10","35","0","0","1","82020",8.03,11.21,18.24,55.8,49.8,15.693,33.24,976,7,12.5,8.5,0.7907,82.5,6.63,0.8,0.06,7.157,0.55,0.0496,0.5487,0.0728,0.832
