v1,v2,v3,experiment
17.34,47.5,13.4,1
18.44,50.3,12.9,1
18.14,48.7,12.8,1
18.14,48.4,13.0,1
18.74,49.2,13.0,1
19.54,50.3,12.9,1
17.74,48.4,12.8,1
18.54,47.9,12.7,1
17.34,51.1,14.1,1
18.24,49.8,12.5,1
18.74,47.9,12.6,1
18.14,48.4,12.7,1
18.54,49.1,12.5,1
18.14,47.2,12.6,1
17.34,49.3,13.2,1
18.24,48.6,12.7,1
17.74,48.3,13.3,1
18.14,48.4,12.9,1
18.14,48.2,12.8,1
18.74,49.8,12.9,1
17.94,49.0,12.7,1
18.24,49.8,12.8,1
17.74,49.6,13.0,1
17.84,49.4,12.5,1
18.24,48.7,12.8,1
17.94,48.0,12.7,1
18.54,47.9,13.0,1
18.14,48.8,12.7,1
17.94,49.6,12.5,1
19.14,50.1,12.5,1
17.24,50.4,14.9,1
18.54,48.3,12.5,1
18.74,48.7,12.6,1
18.14,47.5,12.6,1
18.44,48.9,13.4,1
18.34,48.0,12.8,1
17.54,47.7,13.0,1
18.04,46.9,12.7,1
18.34,48.7,12.8,1
17.54,48.5,13.0,1
18.04,48.0,13.1,1
17.94,47.3,13.4,1
17.84,47.3,13.2,1
18.74,47.0,12.3,1
18.04,46.4,13.0,1
19.04,48.8,12.7,1
18.84,51.8,13.0,1
18.54,50.7,13.5,1
18.04,46.1,13.2,1
18.64,46.2,12.8,1
18.04,47.1,13.1,1
17.84,48.5,13.4,1
19.04,48.3,12.7,1
18.54,49.6,13.9,1
18.94,49.0,12.5,1
17.44,46.8,12.6,1
17.34,51.6,13.2,1
17.74,49.9,12.3,1
17.54,50.0,12.2,1
18.34,52.7,12.1,1
17.34,49.7,12.5,1
17.84,50.3,12.4,1
17.84,50.4,12.8,1
17.84,51.1,12.6,1
17.54,50.6,13.0,1
16.94,51.3,13.1,1
17.24,52.5,13.4,1
16.94,51.5,12.9,1
17.24,52.0,12.5,1
16.94,50.7,12.9,1
17.84,50.5,12.3,1
16.94,49.9,12.7,1
17.24,50.2,12.4,1
18.14,52.5,12.4,1
18.74,53.1,12.3,1
17.84,51.6,12.1,1
17.64,50.9,12.6,1
17.84,51.8,12.8,1
17.74,51.6,13.0,1
17.54,51.9,12.7,1
18.04,51.6,12.3,1
17.94,52.4,12.0,1
17.94,52.9,12.3,1
17.44,55.8,12.8,1
18.34,51.3,12.4,1
18.84,51.9,12.4,1
17.94,52.3,12.4,1
17.74,50.9,12.4,1
17.44,51.3,12.3,1
17.94,49.5,12.4,1
17.74,49.2,12.5,1
17.44,50.8,12.8,1
17.44,49.5,12.4,1
17.74,50.8,12.7,1
17.14,47.7,12.9,1
17.44,49.7,13.0,1
17.44,48.2,12.8,1
17.44,48.2,12.7,1
17.64,49.5,13.0,1
17.84,49.3,12.7,1
17.54,48.7,12.6,1
17.34,49.1,13.6,1
17.94,49.1,12.3,1
17.04,49.6,13.3,1
18.04,48.6,12.7,1
19.14,48.6,12.4,1
16.84,49.0,12.8,1
17.44,49.0,13.3,1
18.34,50.0,12.3,1
17.64,47.6,12.8,1
17.84,50.0,12.6,1
17.24,48.6,12.8,1
17.84,48.6,12.3,1
17.64,49.2,12.8,1
18.54,51.2,12.6,1
17.44,48.2,12.7,1
17.44,48.3,12.8,1
18.14,48.9,12.6,1
17.34,47.7,12.5,1
17.54,51.8,12.4,1
18.14,52.0,12.4,1
17.84,52.1,12.3,1
17.84,51.3,12.5,1
17.84,50.8,12.3,1
17.24,49.9,12.8,1
16.94,50.7,13.0,1
16.94,51.1,12.8,1
17.74,50.8,12.4,1
17.74,52.5,12.7,1
17.14,49.5,12.6,1
18.24,51.9,12.3,1
18.24,51.6,12.1,1
16.84,52.6,14.2,1
17.94,51.6,12.5,1
18.04,52.1,12.9,1
17.04,51.5,12.4,1
17.94,51.0,12.5,1
17.64,52.6,13.6,1
18.34,51.1,12.5,1
18.14,50.3,12.6,1
18.14,50.6,12.5,1
17.74,50.2,12.4,1
17.74,49.8,12.7,1
18.14,51.8,12.3,1
18.64,50.5,12.6,1
17.94,50.1,12.8,1
18.04,49.0,12.9,1
17.64,48.7,12.8,1
18.64,50.5,12.7,1
18.24,46.4,12.7,1
18.04,47.3,13.0,1
17.74,47.5,12.9,1
17.24,48.0,13.2,1
18.44,47.2,12.8,1
18.14,46.8,12.7,1
17.44,49.8,12.9,1
18.24,49.5,12.8,1
17.84,47.8,13.1,1
17.44,47.8,12.7,1
17.54,49.3,13.6,1
17.84,47.1,12.3,1
17.94,46.7,12.6,1
17.94,46.6,12.9,1
17.64,47.9,12.7,1
17.64,47.5,12.7,1
18.24,48.9,12.8,1
17.94,48.6,12.4,1
18.34,48.1,12.4,1
